kernel,T,n_eval,gflops,l1_miss,seconds
garch_mle,100,125,1.07550671730767,0,8.1357e-05
garch_mle,100,1000,1.16624487477029,0,0.000600217
garch_mle,100,8000,1.14498658423309,0,0.004890887
garch_mle,500,125,1.27115935544231,0,0.000344174
garch_mle,500,1000,1.17496505318228,0,0.002978812
garch_mle,500,8000,1.15502621620754,0,0.024241874
garch_mle,1000,125,1.27390575135689,0,0.000686864
garch_mle,1000,1000,1.17704763831277,0,0.005947083
garch_mle,1000,8000,1.15717747387083,0,0.048393614
garch_mle,5000,125,1.26519133307789,0,0.003457975
garch_mle,5000,1000,1.17524079256762,0,0.029781131
garch_mle,5000,8000,1.15665604474996,0,0.242077151
garch_mle,10000,125,1.26781791294858,0,0.006901622
garch_mle,10000,1000,1.17379291998965,0,0.059635732
garch_mle,10000,8000,1.1575410088461,0,0.483784156
garch_mle,50000,125,1.26777481873501,0,0.034509283
garch_mle,50000,1000,1.17286768064719,0,0.298413884
garch_mle,50000,8000,1.15582536952179,0,2.422511284
garch_mle,100000,125,1.26687899075931,0,0.06906737
garch_mle,100000,1000,1.14946731180574,0,0.608977735
garch_mle,100000,8000,1.15257886022103,0,4.858669713
