layout,kernel,d,P,gflops,l1_miss,seconds
rm,mc_paths,10,10000,0.514979585741058,0,0.002136007
rm,mc_paths,10,100000,0.527992785506579,0,0.020833618
rm,mc_paths,50,10000,1.86389175335347,0,0.013681052
rm,mc_paths,50,100000,1.86248134533207,0,0.136914123
rm,mc_paths,100,10000,2.36798451178701,0,0.042652306
rm,mc_paths,100,100000,2.37686466680443,0,0.424929536
rm,mc_paths,200,10000,2.38396239468928,0,0.168626821
rm,mc_paths,200,100000,2.40207766093947,0,1.67355122
rm,mc_paths,500,10000,2.32205897534796,0,1.07878397
rm,mc_paths,500,100000,2.32441416956653,0,10.776909007
rm,mc_paths,1000,10000,2.29056106349796,0,4.370108337
rm,mc_paths,1000,100000,2.28811720139014,0,43.747759048
cm,mc_paths,10,10000,0.501331033894991,0,0.002194159
cm,mc_paths,10,100000,0.513609268200643,0,0.021417059
cm,mc_paths,50,10000,1.59230438665497,0,0.016014526
cm,mc_paths,50,100000,1.61351799555355,0,0.158039762
cm,mc_paths,100,10000,2.05463351898609,0,0.049157185
cm,mc_paths,100,100000,2.05441914253244,0,0.491623145
cm,mc_paths,200,10000,2.1311091311352,0,0.188634169
cm,mc_paths,200,100000,2.13435603916009,0,1.883472076
cm,mc_paths,500,10000,2.19194015048911,0,1.142823174
cm,mc_paths,500,100000,2.18295706319705,0,11.47526006
cm,mc_paths,1000,10000,2.20510025003319,0,4.539476153
cm,mc_paths,1000,100000,2.20797548697409,0,45.33564824
